accident_month,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,,,,,,,,,,,,,
2019-09-30 16:00:00+00:00,13397.46,34681.03,56294.25,81160.22,95277.57,111076.58,140493.04,164716.47,205749.42,227102.67,250582.44,293028.61,,,452990351.9,467131278.8,618316464,199299571,249608717,865328118.9,586774561,1683702986,455961285.6,551299599.3,1801677348
2019-10-31 16:00:00+00:00,28159.08,45643.53,63603.93,74416.38,95120.67,113723.79,135878.21,158668.32,195947.86,229884.59,269895.64,292536.52,,,305705991.8,322575968.2,116909075,428667624.4,346076073.7,490818325.5,519389113.8,1389764103,1151701643,1600884122,512609447.2
2019-11-30 16:00:00+00:00,6487.92,18066.16,31299.19,58484.71,84740.41,98672.05,121909.22,131049.93,163120.6,177667.76,219138.27,263455.16,,,134055641.5,175113083,739052497.7,689361782.5,194090593.1,539966069.6,83552579.3,1028527874,211619864.1,1719803200,1963986739
2019-12-31 16:00:00+00:00,22836.06,39490.74,56261.41,76257.13,84595.85,108063.13,139194.65,154952.1,187477.38,225406.97,241697.18,285080.13,,,277378365.9,281255372.2,399828818.3,69534251.24,550713230.6,969171537.5,248297230.5,1057893839,1438653798,265370941.8,1882080351
2020-01-31 16:00:00+00:00,9424.38,25156.14,40520.78,55102.28,77808.16,95247.12,122407.2,142203.27,181824.56,243791.65,287971.78,346041.35,,,247488272.7,236072162.3,212620142.3,515556986.6,304117325.9,737669945.6,391884387.4,1569846621,3839920243,1951883887,3372074960
2020-02-29 16:00:00+00:00,14923.5,32849.76,49676.85,66107.31,89516.84,101130.7,139464.76,165091.63,199907.35,229859.2,285167.88,297105.61,,,321350797.6,283150957.9,269960015.8,548006094.8,134881744.1,1469500156,656736466,1212134359,897113318.4,3059050083,142509397.6
2020-03-31 16:00:00+00:00,7511.74,25195.47,45259.9,66749.81,84147.91,98277.75,121303.83,154609.25,185103.62,202940.61,237150.61,261717.26,,,312714306.7,402581351.2,461816231.8,302693883.6,199652378.4,530200360.2,1109251001,929906601.7,318158212.3,1170324100,603520292.2
2020-04-30 16:00:00+00:00,11643.35,18937.72,35477.75,44181.58,57171.4,74410.48,102443.81,126213.04,161701.71,191657.77,241188.11,280024.71,,,53207833.7,273572592.4,75756656.67,168735423.6,297185879.2,785867590.9,564976294.8,1259445698,897365530.7,2453254581,1508281500
2020-05-31 16:00:00+00:00,12825.22,22442.12,39111.83,52148.18,68861.05,98953.97,122735.75,141169.88,185787.49,223085.81,267320.76,298642.5,,,92484765.61,277879231.5,169946421.3,279320023.6,905583834.1,565573060,339817148.9,1990731122,1391164675,1956730802,981051396.6
2020-06-30 16:00:00+00:00,15381.99,31818.18,56521.6,77771,105658.91,147501.19,170568.64,194178.64,237018.8,277884.5,301701.14,337609.83,,,270148341.7,610258959.7,451537000.4,777735524.2,1750776396,532107249.5,557432100,1835279309,1670005436,567232340.9,1289434018
2020-07-31 16:00:00+00:00,10215.45,25081.46,44220.78,64345.3,79629.4,100435.52,121098.59,160327.55,190520.4,217337.06,256516.43,309330.36,,,220998253.3,366313570.1,404996305.2,233603712.8,432894629.5,426962461.8,1538911303,911608191.1,719133253.6,1535023034,2789311202
2020-08-31 16:00:00+00:00,12217.46,22984.82,47793.53,69274.28,81259.1,104812.11,122225.85,154783.04,187990.34,226791.72,253092.69,297381.71,,,115936041.4,615472091.9,461422620.6,143635910.4,554744280.1,303238340.8,1059970621,1102724773,1505547090,691741022.9,1961517293
2020-09-30 16:00:00+00:00,18493.96,42427.5,63503.4,84489.27,93545.63,108703.85,131018.12,157258.5,168219.68,200348.27,248747.09,281917.97,,,572814336.9,444193560.8,440406739.7,82017656.45,229771633.6,497926645.6,688557542.5,120147467,1032246295,2342445777,1100307280
2020-10-31 16:00:00+00:00,16226.92,31982.73,44492.35,58876.44,83906.81,101246.75,129146.71,156487.19,179916.55,206428.5,223940.98,253361.59,,,248245548.8,156490592.5,206902045.1,626519422.3,300673519.2,778407768,747501846.6,548934910,702883492.8,306686955.8,865572292.8
2020-11-30 16:00:00+00:00,18314.37,36482.88,47407.53,74977.39,100058.09,115634.81,144782.99,186585.73,214900.13,258705.79,287796.98,317541.31,,,330094755.6,119347977.6,760097180.4,629041512.5,242634206,849616397.3,1747469072,801705247.4,1918935848,846297335.6,884725167.1
2020-12-31 16:00:00+00:00,16556.55,34958.52,60502.41,71116.13,84808.65,98919.52,122005.75,162114.82,207237.51,258937.71,318323.89,340382.06,,,338632499.9,652490316.3,112651052.2,187485104,199116652.2,532974015.6,1608737496,2036057153,2672910680,3526718375,486562863.7
2021-01-31 16:00:00+00:00,7113.71,23052.72,35890.67,61022.89,85815.84,102859.22,133492.4,152587.46,193200.98,232528.36,253023.54,290694.56,,,254052039.8,164812960.2,631628482.1,614690369.7,290476801.8,938391716.9,364621316.4,1649458007,1546642818,420052403.2,1419105748
2021-02-28 16:00:00+00:00,15172.48,25857.47,37371.62,48853.82,78573.82,110529.01,160448.49,183836.8,220909.14,270442.75,301676.11,329499.19,,,114169011.3,132575650.2,131840916.8,883278400,1021134168,2491954483,547013044.7,1374358393,2453578520,975522776.9,774123780.7
2021-03-31 16:00:00+00:00,13905.72,30511.04,51394.67,64461.85,82182.12,105552.03,129972.58,152389.12,182595.76,202046.41,214169.67,253213.82,,,275736652.3,436126002,170751193.2,314007968.9,546152693.4,596363262.3,502501265.6,912441100.1,378327785.4,146973433,1524445649
2021-04-30 16:00:00+00:00,12829.82,27449.31,36835.74,53156.85,73889.06,96816.57,121372.11,142623.59,175219.94,206487.9,253285.35,298544.99,,,213729487.9,88105068.14,266378631.6,429824531.5,525670714.8,602974544.7,451625402.2,1062522033,977685322.6,2190001327,2048435013
2021-05-31 16:00:00+00:00,18217.79,36435.46,52141.15,72975.19,88569.02,103351.6,126198.71,152647.13,193474.82,220154.32,255795.95,288246.03,,,331883500.2,246668698.4,434057222.7,243167534.1,218524671.5,521990435.4,699518920.5,1666900271,711795720.3,1270325789,1053007692
